cluster,hhid,extid
79,79031,79031-06
79,79031,79031-07
79,79031,79031-08
79,79031,79031-10
33,33018,33018-05
33,33018,33018-06
33,33018,33018-08
20,20021,20021-04
20,20021,20021-05
20,20021,20021-06
20,20021,20021-07
18,18019,18019-03
18,18019,18019-04
08,08019,08019-03
23,23054,23054-02
23,23054,23054-03
23,23054,23054-04
23,23054,23054-05
33,33094,33094-02
21,21020,21020-05
21,21020,21020-06
21,21020,21020-07
21,21020,21020-08
33,33054,33054-03
33,33054,33054-04
45,45094,45094-07
54,54025,54025-04
54,54025,54025-06
41,41025,41025-05
41,41025,41025-06
14,14029,14029-05
84,84018,84018-04
84,84018,84018-05
62,62052,62052-04
62,62052,62052-05
62,62052,62052-06
27,27020,27020-03
27,27020,27020-04
27,27020,27020-05
90,90203,90203-07
90,90203,90203-08
81,81021,81021-03
81,81021,81021-04
19,19020,19020-03
19,19020,19020-04
22,22020,22020-06
22,22020,22020-07
22,22020,22020-08
60,60022,60022-05
36,36021,36021-03
33,33017,33017-04
95,95120,95120-04
95,95120,95120-05
95,95120,95120-07
58,58024,58024-04
58,58024,58024-05
58,58024,58024-06
58,58024,58024-07
55,55081,55081-04
55,55081,55081-05
55,55081,55081-06
55,55081,55081-07
48,48053,48053-03
48,48053,48053-04
57,57047,57047-07
57,57047,57047-08
49,49084,49084-03
49,49084,49084-04
49,49084,49084-05
12,12085,12085-03
56,56101,56101-03
56,56101,56101-04
56,56101,56101-05
29,29046,29046-05
29,29046,29046-06
29,29046,29046-08
53,53021,53021-03
53,53021,53021-04
91,91020,91020-05
91,91020,91020-06
91,91020,91020-07
91,91020,91020-08
91,91020,91020-09
95,95182,95182-03
95,95182,95182-04
95,95182,95182-05
69,69098,69098-03
67,67088,67088-03
67,67088,67088-04
67,67088,67088-05
14,14027,14027-06
14,14027,14027-07
14,14027,14027-08
11,11012,11012-03
11,11012,11012-04
50,50060,50060-05
37,37061,37061-04
26,26027,26027-04
26,26027,26027-05
23,23089,23089-02
95,95085,95085-05
95,95085,95085-06
70,70069,70069-07
78,78021,78021-02
24,24064,24064-04
11,11062,11062-05
11,11062,11062-06
51,51053,51053-03
51,51053,51053-04
51,51053,51053-05
11,11061,11061-03
11,11061,11061-04
02,02080,02080-4
28,28102,28102-03
28,28102,28102-04
28,28102,28102-05
28,28102,28102-06
03,03045,03045-03
03,03045,03045-04
94,94014,94014-04
94,94014,94014-05
94,94014,94014-06
83,83141,83141-03
83,83141,83141-04
83,83141,83141-05
85,85016,85016-03
65,65063,65063-03
65,65063,65063-04
65,65063,65063-05
20,20020,20020-05
28,28101,28101-03
22,22021,22021-04
22,22021,22021-05
22,22021,22021-06
49,49083,49083-02
03,03020,03020-03
58,58023,58023-03
58,58023,58023-04
58,58023,58023-05
50,50030,50030-05
43,43095,43095-04
85,85015,85015-02
78,78020,78020-04
78,78020,78020-05
78,78020,78020-06
56,56099,56099-03
61,61051,61051-04
61,61051,61051-05
49,49082,49082-02
65,65062,65062-02
65,65062,65062-03
21,21018,21018-02
22,22022,22022-03
16,16029,16029-03
16,16029,16029-04
16,16029,16029-05
16,16029,16029-06
16,16029,16029-07
16,16029,16029-08
49,49081,49081-02
11,11060,11060-05
11,11060,11060-06
11,11060,11060-07
25,25012,25012-04
25,25012,25012-05
60,60063,60063-04
60,60063,60063-05
60,60063,60063-06
60,60063,60063-07
74,74032,74032-03
38,38057,38057-03
38,38057,38057-04
38,38057,38057-05
03,03060,03060-02
03,03060,03060-03
03,03060,03060-04
50,50058,50058-04
50,50058,50058-05
42,42015,42015-04
42,42015,42015-05
42,42015,42015-06
77,77140,77140-07
43,43094,43094-04
43,43094,43094-05
43,43094,43094-06
33,33052,33052-03
33,33052,33052-04
45,45019,45019-03
45,45019,45019-04
31,31100,31100-04
31,31100,31100-05
39,39018,39018-02
39,39018,39018-03
38,38056,38056-03
38,38056,38056-04
38,38056,38056-05
41,41065,41065-03
48,48052,48052-03
48,48052,48052-04
48,48052,48052-05
63,63017,63017-02
13,13035,13035-05
13,13035,13035-06
33,33051,33051-03
33,33051,33051-04
21,21017,21017-04
21,21017,21017-05
21,21017,21017-06
21,21017,21017-07
21,21017,21017-08
18,18050,18050-04
18,18050,18050-05
77,77108,77108-02
77,77108,77108-03
09,09003,09003-03
09,09003,09003-04
09,09003,09003-07
36,36020,36020-05
36,36020,36020-06
36,36020,36020-07
36,36020,36020-08
80,80019,80019-05
80,80019,80019-06
80,80019,80019-07
27,27052,27052-04
87,87001,87001-02
87,87001,87001-03
26,26025,26025-02
50,50094,50094-03
50,50094,50094-04
50,50094,50094-05
65,65021,65021-03
65,65021,65021-04
11,11013,11013-03
11,11013,11013-09
33,33050,33050-03
41,41024,41024-04
29,29079,29079-03
67,67052,67052-03
67,67052,67052-04
34,34099,34099-04
34,34099,34099-05
58,58022,58022-02
58,58022,58022-04
58,58022,58022-05
58,58022,58022-06
95,95180,95180-03
95,95180,95180-04
95,95180,95180-05
95,95180,95180-06
95,95180,95180-07
34,34029,34029-03
40,40064,40064-05
40,40064,40064-06
14,14023,14023-03
77,77107,77107-07
26,26024,26024-04
26,26024,26024-05
50,50057,50057-05
50,50057,50057-06
50,50057,50057-07
09,09004,09004-02
09,09004,09004-03
23,23088,23088-02
23,23088,23088-03
23,23088,23088-04
29,29080,29080-04
29,29080,29080-05
29,29080,29080-06
29,29080,29080-07
75,75033,75033-03
73,73076,73076-04
73,73076,73076-07
34,34010,34010-05
50,50093,50093-04
50,50093,50093-05
50,50093,50093-06
50,50093,50093-07
14,14022,14022-03
14,14022,14022-04
54,54020,54020-03
54,54020,54020-04
67,67085,67085-05
67,67085,67085-06
67,67085,67085-07
93,93015,93015-03
75,75032,75032-06
75,75032,75032-07
75,75032,75032-08
65,65020,65020-04
38,38018,38018-07
38,38018,38018-08
38,38018,38018-09
07,07005,07005-04
07,07005,07005-05
83,83098,83098-03
70,70066,70066-04
69,69027,69027-03
64,64019,64019-03
64,64019,64019-04
65,65019,65019-02
65,65019,65019-03
65,65019,65019-04
05,05018,05018-03
73,73074,73074-04
72,72030,72030-03
72,72030,72030-04
72,72030,72030-05
54,54052,54052-06
54,54052,54052-07
74,74015,74015-06
74,74015,74015-07
74,74015,74015-08
74,74015,74015-09
74,74015,74015-11
92,92053,92053-03
92,92053,92053-04
92,92053,92053-05
13,13066,13066-05
13,13066,13066-06
13,13066,13066-07
13,13066,13066-08
85,85050,85050-03
85,85050,85050-04
85,85050,85050-05
69,69026,69026-06
77,77137,77137-03
77,77137,77137-04
77,77137,77137-05
77,77137,77137-06
94,94012,94012-03
44,44020,44020-03
44,44020,44020-04
44,44020,44020-05
69,69021,69021-05
69,69021,69021-06
69,69021,69021-07
69,69021,69021-08
65,65061,65061-04
65,65061,65061-05
65,65061,65061-06
65,65061,65061-07
65,65061,65061-08
65,65061,65061-09
65,65061,65061-10
03,03058,03058-03
03,03058,03058-04
03,03058,03058-05
03,03058,03058-06
77,77168,77168-03
74,74010,74010-02
74,74010,74010-03
74,74010,74010-04
74,74010,74010-05
49,49053,49053-03
87,87024,87024-03
87,87024,87024-05
21,21016,21016-04
21,21016,21016-05
21,21016,21016-07
81,81017,81017-04
81,81017,81017-05
81,81017,81017-06
85,85014,85014-06
46,46020,46020-03
46,46020,46020-04
62,62049,62049-03
62,62049,62049-04
62,62049,62049-05
62,62049,62049-06
23,23120,23120-03
23,23120,23120-04
70,70015,70015-04
70,70015,70015-05
65,65059,65059-03
65,65059,65059-04
65,65059,65059-05
02,02037,02037-04
02,02037,02037-05
02,02037,02037-06
02,02037,02037-08
50,50091,50091-04
50,50091,50091-05
60,60061,60061-03
60,60061,60061-04
21,21015,21015-03
21,21015,21015-04
21,21015,21015-05
60,60018,60018-06
60,60018,60018-07
60,60018,60018-08
03,03018,03018-04
40,40063,40063-03
40,40063,40063-04
30,30082,30082-06
20,20019,20019-04
20,20019,20019-05
20,20019,20019-06
20,20019,20019-07
20,20019,20019-08
13,13036,13036-03
88,88049,88049-06
17,17024,17024-03
17,17024,17024-04
17,17024,17024-05
17,17024,17024-06
94,94010,94010-04
94,94010,94010-05
94,94010,94010-06
92,92052,92052-03
92,92052,92052-04
45,45016,45016-03
45,45016,45016-04
45,45016,45016-05
