cluster,hhid,extid
27,27002,27002-07
27,27002,27002-08
27,27002,27002-09
27,27002,27002-10
48,48001,48001-03
48,48001,48001-04
48,48001,48001-05
90,90218,90218-04
90,90218,90218-05
90,90218,90218-06
09,09022,09022-03
09,09022,09022-04
09,09022,09022-05
63,63002,63002-04
51,51080,51080-02
51,51080,51080-03
51,51080,51080-04
51,51080,51080-05
10,10069,10069-02
02,02048,02048-03
59,59049,59049-04
59,59049,59049-05
59,59049,59049-07
56,56080,56080-06
88,88031,88031-04
85,85036,85036-04
85,85036,85036-05
85,85036,85036-07
21,21024,21024-08
21,21024,21024-09
21,21024,21024-10
21,21024,21024-11
21,21024,21024-12
21,21024,21024-13
51,51079,51079-05
51,51079,51079-06
31,31002,31002-05
22,22040,22040-04
39,39002,39002-04
39,39002,39002-05
39,39002,39002-06
39,39002,39002-07
39,39002,39002-08
07,07043,07043-03
07,07043,07043-05
14,14001,14001-08
79,79016,79016-04
79,79016,79016-05
80,80137,80137-06
80,80137,80137-07
29,29028,29028-05
03,03091,03091-02
56,56079,56079-03
93,93031,93031-03
93,93031,93031-04
93,93031,93031-05
44,44002,44002-04
13,13021,13021-03
79,79003,79003-05
79,79003,79003-06
34,34078,34078-05
34,34078,34078-06
46,46002,46002-03
46,46002,46002-04
27,27001,27001-07
31,31001,31001-03
27,27037,27037-06
29,29055,29055-08
29,29055,29055-09
29,29055,29055-10
29,29055,29055-11
29,29055,29055-12
95,95100,95100-05
23,23068,23068-03
23,23068,23068-04
69,69080,69080-03
69,69080,69080-04
69,69080,69080-05
53,53034,53034-03
53,53034,53034-05
67,67069,67069-03
67,67069,67069-06
83,83001,83001-03
83,83001,83001-04
83,83001,83001-05
83,83001,83001-06
